Store_Size,Product_Price,Day_of_Week,Promotion,Holiday,Monthly_Target,Sales
3435,42.45562914741427,3,0,1,35518.17050738955,1259.0464542106079
1600,32.472020538270144,5,1,1,43345.725365758335,7131.80488180613
3363,314.1947853668247,7,0,1,29977.270794673415,11532.776943111012
3061,180.23257003045296,6,1,1,31401.020183957313,3816.131779887168
1241,112.47408762847195,6,0,1,15775.50528534669,2749.876329792206
3041,294.0284678911518,5,1,0,41359.49434757422,16490.25029072064
3824,177.36597312370708,6,0,0,26775.584466678865,17993.683384321637
4417,273.25907418989436,4,1,0,30003.204730863305,16648.5219951656
3612,235.4583879019503,1,0,0,41403.9085638283,18076.969905009606
3945,296.5353919150853,2,0,0,33953.81600317756,11509.12745010906
2363,206.14723956603785,1,0,1,18043.949097706696,16432.904298816495
3139,351.8571111114966,7,0,1,33609.306366035715,8296.810129430909
2390,98.23296345115628,2,0,1,26305.314319186233,13659.089368101731
4003,351.2857184512687,2,0,1,28781.021681754508,19787.875096394124
2478,211.7139950351888,1,1,0,11132.450976106711,5288.8267529434215
4499,438.4156263786644,5,0,0,18401.173980651263,8408.09517953053
3556,262.4656668834633,2,1,0,21241.523255241133,10120.900168891627
1775,486.8240711423511,1,1,1,38518.40031435223,3622.294253380983
1034,304.9483438150705,2,1,0,10459.698931924613,2539.733598836079
3253,119.68604229409709,3,1,1,26351.090449165284,16764.734460110863
4152,412.67741205378013,5,1,0,46961.074817029315,19559.093083724136
2955,179.0904876329695,4,0,0,14475.224661964954,8689.776212763514
2585,180.33341509651493,2,0,1,30656.975528744442,2665.3468876984125
4943,25.584293927730915,3,0,0,41460.895295633876,2250.423453120953
4459,278.8705015116302,4,1,0,47701.25230080467,17935.045920845674
4073,271.8675168289363,4,0,1,39871.06558134872,9812.470744825918
2021,184.4358272932732,7,0,0,38822.62194577625,7080.519014685447
4461,448.1664588190036,2,0,1,43059.523607830495,10052.764153548591
3613,73.08671516682551,1,0,0,27848.048839101746,7047.777799154599
2129,171.74876152197615,2,0,0,42233.781304713324,10291.67973084478
4843,167.5755546932142,3,1,0,10318.576189818044,17331.5715414408
4893,55.22238725208558,4,0,0,46982.442215072195,12253.726050179817
2500,245.76124308758367,2,1,0,27732.260380687014,14198.421683393331
1702,347.0145113770807,1,1,0,32135.207514629903,7928.742848452395
3449,260.711936638158,7,1,0,20195.28995659529,15031.611691699856
3777,86.91906453093492,2,1,0,39701.23331361686,13665.724612708074
2579,194.87012296861556,5,1,1,13065.432259009953,3271.6779572890723
1161,11.271561947986815,7,0,1,44905.43210187341,11880.214209196107
1201,435.46754244743755,1,0,0,43124.67316025371,5878.126429885402
2981,51.41333376353415,3,0,0,18642.404649790657,16277.817723038263
1995,302.66626030516096,4,1,1,42372.975931410496,9092.81646087185
3317,493.26592797473944,2,0,0,41454.30932245926,19898.999138733256
4934,272.92941653379296,1,0,0,35288.663910157964,2757.508320840312
1815,462.7804619626422,7,1,1,24940.8070759875,15826.609392063012
4342,125.69710122752812,5,1,0,20859.950167274714,13800.332937300973
1455,382.378150379417,1,1,0,19271.343611574,15582.477781223404
4533,270.32021944703166,6,1,1,22744.358510544287,6843.066114318671
4798,363.0528700818178,5,0,0,46142.33773730121,10349.035298265611
2275,40.54726763050831,7,1,0,13105.631039551252,16133.66187475046
2016,82.39215503405109,3,1,1,43154.85105011835,5418.285300796245
4773,75.22729500786434,4,0,0,23955.603001672942,5294.63073898439
3343,346.71109764763224,7,0,1,30863.975840454328,11469.968112603716
4796,423.7759295904781,3,1,0,41779.42534593963,10947.70801106726
3767,377.3119536842078,2,0,0,45375.06188091885,6362.986937845724
4820,24.931354839461136,1,1,1,23791.256802905882,6663.437359971633
1337,434.9353407266144,6,1,1,28473.739251004412,6279.058100924744
1878,183.53186868863148,5,0,0,26580.64259267169,15658.729177971265
2076,204.61027792700042,5,0,1,10530.041340156422,13386.116445686752
1791,61.38589160091564,1,1,1,21837.715554346265,16815.9264847948
4993,371.32855098597133,6,1,0,28367.569349302474,19533.987537966415
3264,99.31910045321945,1,1,0,26443.74435521759,10009.121629167741
1763,286.34289508922984,2,0,0,38877.16910062718,2267.1837467035284
3235,421.94789308018625,3,1,1,25392.144688844128,1913.7538978286732
1379,53.71012106890753,7,1,1,29575.05795882681,6617.635746160763
1492,272.31442636760653,5,1,1,27184.343685294534,18718.347197696567
4112,124.2760416594026,2,1,1,39625.045955774825,10941.048044446623
2180,178.03416349634753,3,1,0,44518.895959478505,6163.943805522454
3062,242.24527130097252,2,0,1,31275.563160300564,8584.16909570937
4884,184.00110860685933,6,1,0,41577.28776780765,12373.307040688745
1064,327.92319174287223,5,1,1,21871.467280794022,13406.043504619001
4928,244.9952298595826,7,1,0,31654.78440629075,3924.4706858751956
4910,296.25774750994293,1,1,0,23809.198146798895,19563.601854358345
3568,371.0430129435073,1,0,0,26568.037022873214,11350.672312672988
2367,283.29371031571435,3,0,1,39296.55459250674,3578.0780380533065
2152,297.4023629837719,7,0,0,45266.49929330851,17979.06981357654
3027,286.5846858360942,4,1,0,14859.815643510618,2418.1301905091473
3695,195.5985867161318,6,1,1,35385.570259495216,18246.97323037274
2495,175.34894859723985,3,0,0,33285.752303111934,19934.747469490667
4134,450.827224601056,4,0,1,14736.601567037276,14308.204183973574
2162,307.7020589238507,2,0,1,18475.773217604365,15638.497200405805
2522,129.7330461776807,6,1,0,22440.099789307213,7408.753892882241
3640,254.1413719459807,2,1,0,16677.24283270006,18889.96020194474
1391,171.87075582764786,7,0,1,19749.179300973672,11064.565356058985
2698,467.50899364233857,5,0,0,20704.0319544683,14915.380485353542
1418,13.691837935696622,6,0,1,23426.953321562385,18558.04660231431
3336,120.41307087913883,4,1,1,39975.61811204636,19528.41954353466
1378,189.02484164028826,5,1,1,32876.48815402403,16830.882775336813
2796,249.0268023962816,1,1,0,49449.86687805606,6757.33263265857
4561,426.90058373971164,4,0,1,26589.43307869884,19364.402814489564
3278,53.064936024670494,3,0,0,40154.602953477006,12934.271093627864
4065,404.8737945031603,1,1,0,44858.736855061354,18682.207050687237
3088,37.27020978491792,1,0,0,37159.13972152168,13845.995490472686
4099,422.733877296109,3,1,0,26474.58961669984,6837.5402751066895
3182,35.30138415851129,6,0,1,40143.785229830115,8030.465958713503
1200,18.938815899896912,1,0,0,18146.685510907395,11458.96376495587
2863,351.51111655954656,7,0,1,23102.086607205296,16010.281989637759
1779,498.6552120365132,4,0,1,31867.41020397155,7041.668475466364
3977,449.3390288572702,5,1,0,33016.37549144593,12014.89215654965
4104,292.2392247247734,1,0,1,10885.659018905179,7566.874877951629
4119,459.52385041191053,4,1,1,47804.56755024035,16499.618688067036
1502,12.597003134826654,2,1,0,37865.0908486956,9867.833781591058
3454,487.78290984311985,4,1,1,29828.150009275643,2457.7337102048195
4645,250.4669018368044,5,0,1,47325.08937633233,4154.997908149191
2751,364.2190873446701,4,1,1,27563.82261003314,2160.9886847730136
1804,412.22212184514274,3,1,1,49217.42281081487,10486.755974272179
3146,362.04406270991126,5,1,0,30491.390289739404,3020.4086496163163
3731,272.1679987020062,6,0,1,14571.430799919179,3168.65941688301
2895,243.54354722194188,2,0,1,40592.03889837109,18879.916940729163
3773,420.90545376428616,3,1,1,37155.90900311362,17580.446371345053
2570,110.48800447323497,6,0,1,40919.46885222347,9589.645339415954
1960,484.3170925870748,4,1,0,48057.681149027245,19730.30109615391
4810,358.36671463000664,5,1,1,41059.57210604072,1003.5440352425992
3660,107.75839439577668,2,0,0,34453.464088665874,12665.609669194482
2485,370.7611200122592,3,1,1,44292.356094433635,12712.13537006553
3690,269.62161135874715,6,0,0,36929.85757418126,9691.418061527876
4840,356.5427468657778,6,0,0,26324.762273036926,8542.011485751564
2028,386.21195570699103,2,1,0,45424.79056967093,9652.279574131544
4289,52.772187998940964,7,0,0,18876.018431374912,8884.248285513928
1502,257.99093861608003,4,0,0,38585.650996348966,14879.357072163688
3814,466.6870277058977,2,1,1,45262.538197630274,3571.753264492397
1397,167.114674158162,6,1,1,39252.66078813185,4755.145191231473
1870,301.00271780337044,1,0,1,37891.01676215428,4429.846339456049
3842,190.9229359398491,3,0,0,40105.53176287344,5986.941117304026
1392,232.59130638735883,2,1,1,28602.209932025777,10979.909956850082
1206,278.81552778969507,7,0,0,44966.82728628104,3112.966199426156
2038,278.9717701455989,6,0,0,18137.45900544365,17495.216611203577
2881,108.84792654181555,4,0,1,15095.456640013572,6649.869094860974
4625,345.4400584611183,6,0,1,21420.351204740462,4088.221761905449
3939,53.055374508901835,4,0,0,31263.095870999725,13836.804882366623
2484,78.02413898658999,2,0,0,30422.471816373523,1723.6397113870662
4762,11.32834071302154,4,0,1,42823.95030706347,12779.40273260912
4646,67.18107142942384,5,1,1,26182.746256160695,14265.770182853495
1863,241.8514385154272,5,1,1,29373.777051660345,5083.414096347664
3790,306.9899217173609,5,1,1,10534.707330375826,1797.3173954290514
4312,399.2018304835666,7,1,0,26389.569457717564,7909.261819469542
1563,62.28263255558367,7,1,1,35910.96931801368,2873.2903745967933
2020,426.8564554080628,1,0,1,10620.333225063687,3213.0791437934045
1095,375.5275175188719,7,0,1,21235.27860744975,5830.963397452427
2923,210.17396353859928,2,0,0,18318.254371575596,6613.890567908426
2757,467.13965287897776,6,0,0,11679.41715638353,11069.436479406992
3532,495.55544346412137,6,1,0,29170.4035965815,13889.44582455725
4478,110.45088692608626,1,0,0,17268.93172912626,12262.64787653351
3278,195.8220066322622,7,0,1,39723.261585255204,3818.8464085008195
3796,463.96021755895845,4,1,0,43917.11535053394,4269.634616599902
2678,363.58230986812583,1,0,1,31823.407306765912,17696.615746065374
4242,33.566375542402966,4,0,1,49268.293700845665,11608.693986218159
1540,392.94209605819333,4,1,1,28019.142858823812,17528.818825056092
2059,415.69103471697105,3,0,1,30534.72840899662,8059.3837150776135
3572,377.74594313500364,6,0,0,49568.71015831001,12673.600141195153
2183,401.77319415056263,5,0,0,19261.93743860195,10949.604905037604
4910,414.31501157947065,7,0,0,47701.83758707621,7063.346306588789
2722,101.33844352619062,4,0,1,11713.502204764529,9928.392068638312
4314,125.48895557184989,3,1,1,27855.475610527792,10547.326659711709
4157,320.54169622288686,6,1,1,12800.14048532263,4814.648520376893
2819,454.8544039266328,5,1,1,39169.38971654572,6985.1970751579
3625,164.93632532528235,4,1,1,34336.35743520071,16036.785259632536
3729,298.2702711395778,4,1,0,38265.37053870386,18399.976549628416
3604,344.6612110743949,1,1,1,24979.215998720676,7836.08777736069
2597,231.45481463652922,1,0,0,24779.277361255212,6832.473361971345
4060,359.75340287910973,6,1,1,11812.771158435784,4708.746126865768
3693,450.83704819316483,5,1,1,23997.797581185594,13891.332204361044
1795,315.80975664910045,4,0,0,47171.536090482376,7138.894331660408
2051,274.4927203381702,6,0,0,25169.061487217958,19767.241242884582
2643,224.98489094028614,6,1,1,43254.7082488788,7188.011239215111
4627,292.9682727440016,2,0,1,43693.02018999736,8488.584888869935
2363,184.12760139101397,7,1,1,24929.646255169355,12463.349728028661
4869,201.82623399873594,1,0,1,35279.54721584756,16232.001570634795
2981,270.61016504720527,5,1,0,13814.864090922345,9920.85464156704
2354,42.64336507150031,4,0,1,14147.14322937106,9030.46464199021
2663,122.2224415531502,6,0,0,11946.306546468533,19917.118838301358
2529,275.9961622005704,4,1,1,33240.60373500438,1199.3791816589444
3038,221.44879013685687,2,1,0,27042.83910504388,18006.24048817367
4419,173.0797350971173,5,1,0,31921.294266569603,3833.675692855011
2496,367.96907703655774,6,1,1,30842.927620335515,15932.580247969354
4302,349.9216276276358,4,1,0,24008.11964362921,12740.699637079662
3237,91.69807239675775,1,0,1,37098.93659293892,7495.098424463749
4296,440.52826653298473,7,1,0,40340.075236655626,17603.62415489935
2408,252.75757693794316,2,1,1,10585.130355107029,1245.2373316388475
2400,373.3158464581323,5,0,0,18289.691990755135,5307.12238942355
2306,290.84391613612047,2,0,1,38529.43472333347,11770.963128741185
3680,498.8693818026832,1,1,1,25464.80690535337,7679.302940944262
3675,378.6775288190231,5,0,0,36499.357877664326,12597.172411048225
1972,356.42042600929494,2,0,0,23878.50638938234,1458.0936747646697
2768,391.500250134868,3,1,0,25630.206093185483,3212.719679152538
2282,80.13271291875012,1,0,0,16347.154947587398,3414.8285641503453
4430,110.226850653037,1,0,1,20329.2407866464,4596.38927240418
1709,359.8914002895709,1,1,0,34216.47030030349,9727.297375210313
2479,252.0509286941227,3,1,1,27326.524452606656,15290.445291327853
2434,379.77129301145715,3,0,0,40972.107317783804,18205.23792064912
1648,60.42885506463106,4,0,1,44103.39819753371,16872.078075400677
1317,272.8758622274514,6,1,1,31665.856728670395,4740.869563737988
4748,195.62256712288868,7,0,1,40330.69168224237,9381.860492382015
4296,233.93010744802237,2,0,1,22276.180527782803,4788.820357412165
4890,305.93935731553114,4,0,0,26598.848616003128,6024.964516676625
2257,256.1212902566398,2,1,0,38511.107048673235,10567.392648725838
1683,274.53171218529,7,0,1,25448.479712681226,2294.0714697469284
1663,248.31516617784783,6,0,0,33540.197406359555,5145.312262272191
2998,210.38803677189168,3,1,0,17414.911163300458,18772.185064835227
4898,388.2221704931401,6,0,1,33990.85259881992,9856.20956051129
4445,15.979505435841812,3,0,0,44460.54828907574,9462.343993579572
4743,303.2369235905612,7,1,0,44745.58559293702,1276.775940274299
2631,287.0990901882572,6,1,0,38973.77625318158,5700.59519410857
2495,360.92774661914655,4,1,1,39830.13516304504,17459.556283661444
4304,303.52438874089,5,1,0,32317.09780602803,4127.940136914706
4763,415.1314256264484,4,0,1,33386.72360663299,8887.3738511597
2136,479.94664933637364,2,0,0,15346.02325642072,1272.287211473024
2853,177.83688601748628,4,1,0,27754.367536852045,10088.374151740562
2520,121.40198168469364,7,1,0,28031.051355454554,1399.401027798126
3489,217.56246258603662,1,0,1,48339.91342670961,16572.581508250198
1563,151.0855120731058,2,1,1,27243.47450493158,16672.22158225497
2291,311.32562894480066,6,0,0,31973.705796110306,15967.101577745027
4581,456.8076803330527,2,1,1,31330.0559711641,6383.917308931246
4878,78.16693513010031,5,0,0,35470.46868177308,16907.507146214542
4457,59.389355477784385,3,1,1,39929.31325327583,11316.964519500118
4458,135.4476106082945,6,1,1,19001.675046834884,8102.354068473046
4184,365.78683717057635,2,0,0,31148.97676393743,12881.269234380426
2636,300.5518235768226,6,1,0,43036.70829264122,1234.4798751471062
4696,60.0842054703478,6,0,0,28524.58855350046,3716.256674414291
3999,460.1877559077658,6,0,0,21138.301854942918,15103.577225234993
4152,397.1414721908025,3,0,1,36188.36301425196,5639.070565606907
1698,21.28107634594238,7,0,1,42950.69583196492,12362.173229246242
3160,329.1699333842406,4,0,1,12525.611717095653,8316.949453637564
1001,387.9108675746716,6,1,0,41071.619336289084,17241.309797185968
1641,193.47333116300678,1,1,0,42865.91731847085,19095.89081393623
3267,43.77155428993721,7,0,1,28460.91710354427,17787.72983903362
2589,47.88732208950576,5,1,0,49332.22627273869,6141.779899178337
1854,61.08101336538665,3,0,1,41468.33362829236,4689.094511875563
2759,421.8154196704072,2,1,1,40946.502595826634,10014.262978793964
4296,456.2362371452994,3,1,1,39913.54297648287,1139.3488658874253
3432,70.17728310440955,2,1,1,16024.324128730961,1490.378464400453
4474,125.59395695158979,3,1,1,18689.235458120434,11512.522152837002
2661,91.10505007997199,2,0,0,28559.605258577,10888.538679140433
2153,101.29723095211914,6,0,0,20560.173998378636,19897.05779166994
2076,420.3704866112211,4,1,0,26609.638893361618,4834.994871911404
2707,172.7517422009201,2,1,1,45538.56439691683,5903.9746540489
3777,162.60768938236419,2,0,1,42973.07567517077,3157.272204199447
2695,121.42385422978519,1,1,1,35201.595139199286,18433.31718342115
2733,307.86825295918675,2,0,1,44324.815770044144,15778.413644710565
2439,195.85979220891892,1,0,0,41350.89556068997,16624.4431176801
3294,374.68232940321155,5,0,0,27159.39727363562,18152.511971325664
1835,110.73410610406238,6,1,1,18042.606081997805,10973.099747790928
4510,396.01704547010127,1,0,1,30568.041600373566,9572.67063756375
1202,305.8235505477681,4,1,1,39449.155301142004,7277.437999646713
4255,65.99097702728699,7,0,0,27456.783949183722,12195.077672609254
1122,213.10724625977755,6,1,0,36670.876391355894,9631.289539006628
1400,433.1238889003489,1,1,0,13773.097051641746,9579.746145505927
1766,462.25051358125756,6,1,1,39920.18945485614,18801.62941089164
1293,238.19305993621848,6,0,1,42508.54479572248,19696.598771303474
3327,245.61011926364603,6,0,0,38273.51423122165,16133.203397262034
4908,460.0428152202576,5,1,1,48690.54350105462,15378.403714691638
3931,297.66342982691793,4,1,0,43066.082298425616,13930.605073802928
4681,26.09486841928479,3,1,1,46123.74911506153,4155.422194336761
1197,457.24723681077313,3,0,0,47342.843338305924,2123.010596637436
4029,131.6309569510044,1,0,1,42053.91967495234,14123.799987151999
2930,293.03965750485816,6,0,0,36970.35368025996,14846.938222874944
4582,91.10152553970717,1,0,0,10228.74325443157,1892.486830864656
3799,26.600788520831543,5,1,0,28633.030128924987,18632.983254348113
3191,162.62185385505114,5,1,0,32846.49194489444,2731.6721494488734
1608,392.44289669758297,2,0,0,22161.210897919984,6432.110141652845
4272,146.0177145884149,5,0,0,22724.177876138885,13775.406443175385
2147,117.84763489973756,2,1,1,48446.37662840661,4227.57929368505
1186,114.21358432720088,4,0,1,45668.434608109834,2052.901880402644
4397,262.4351043793382,1,0,1,43967.16022006817,7291.783294118846
3511,488.01524468455057,7,0,0,26240.472068244424,15553.459922248403
4420,234.9046041283364,4,0,0,10547.942016356581,8859.894900719946
2794,283.0796307561235,5,0,1,13208.889858228562,13406.485516250847
1659,431.70968876645964,4,0,0,22487.854728704144,12012.762847334596
3811,272.1841622774927,4,1,0,10629.71651982708,1422.1511584860277
4002,100.38680699523948,4,0,0,10685.991276607925,19782.259753868428
2955,156.80199676557376,5,0,0,46664.13206569644,1787.1336875683673
3450,161.86909387161936,7,1,0,38246.34008476217,19388.252015321214
2369,204.68587657422296,6,1,1,22358.239602726106,11447.419388923565
2986,219.1265636150072,4,1,1,15305.783104038126,19300.021514236265
2534,401.893190816392,2,0,1,30465.428715803086,3180.3183888628737
1146,181.19962953417317,5,1,1,10213.846434174578,10317.761864524751
4219,239.43359593627588,4,0,1,47536.54975432576,4220.5777454551135
3911,316.2382336550156,7,0,0,26592.604775557887,1968.5226634264059
2734,195.08571424568296,6,0,0,26093.39820949331,12733.053186183919
2843,419.9167585132431,5,1,0,25623.744303271287,4947.884998272138
1488,297.85226607469644,3,1,0,12773.13321551059,12166.243347463373
3976,154.08189281827606,6,1,1,35532.88959167306,3134.925157030727
2959,359.88900789701586,2,1,1,39320.144785134136,7307.742957221352
2663,268.5473877709451,4,1,1,37045.01590353161,15851.018603011697
3598,271.883386716051,7,0,0,15537.419733175771,9303.978915001566
3385,245.7330947099171,3,0,1,33153.606721423705,12927.162883049392
3919,253.535854922412,7,0,0,32779.37936689015,13301.700874165374
1640,385.02457772245793,3,0,1,44736.431517655285,17031.345835758577
2802,60.460924872344606,5,1,1,25165.106335025877,7173.533093726184
3520,173.83777754213628,3,1,0,24859.43774637737,14058.615689067834
2969,46.99664826390572,2,0,0,34741.082348727425,19270.700333877146
3198,379.0906481662509,2,1,1,35322.90613998052,14874.623352799492
2438,143.42790881294673,1,1,1,28771.409093031616,10307.539057637146
4369,449.74090081125325,2,0,0,27722.374493216845,12983.631445346655
2634,268.02344866305395,6,0,1,29765.906825515307,15053.975057499054
1262,402.3673880281993,3,1,1,44441.81198013247,12633.239548183576
2787,489.676403451821,2,1,0,28446.676050156402,1316.840456306944
3191,421.4965411337196,5,0,1,47597.271678792895,4700.696456057291
3393,434.8269424056465,7,0,0,30160.15054385304,16398.896127093853
1623,209.9124027287739,7,0,1,47968.027727235654,6180.362298937209
2016,280.3440716770765,1,1,0,43313.27607476303,14899.680271661544
4643,134.4053963812191,7,0,1,24497.252904633162,8070.284089592275
1880,106.09541884979187,3,0,0,44545.65685186464,10915.80223500092
3049,257.69886076195655,1,1,1,14402.531368044609,2291.49269656867
3944,301.5740000532061,3,1,0,47001.88701372058,4443.285659944481
2327,176.24291048913358,5,1,1,35265.740603315666,19186.742306865457
3301,289.02732370411513,1,1,1,12175.629940892448,17912.623015491365
4723,444.85563643161646,4,1,1,35770.26894603246,13393.227107081953
1452,282.7935765438494,6,0,1,48969.90616579024,9733.24735032901
4108,363.1984171921482,6,0,1,12792.026184585156,13839.464565009252
2183,404.6043340053735,3,1,1,32187.508391203453,12753.595492784842
4062,494.477103158167,7,1,1,39911.773990374895,11802.49285648763
3056,305.56672706672,4,1,1,42410.34346798125,2124.364365407295
4304,405.3565729916671,1,1,1,26553.098612831833,13023.24960256863
4170,481.6981660918886,4,1,0,18166.66236672972,15609.480846852199
2682,472.76076553286396,4,0,0,11693.691150895353,19887.551438265935
3863,79.13010590107965,7,0,1,33189.046283888994,1210.4924992918839
3255,209.1322310540258,1,0,0,28116.442810704433,14873.295612902855
2154,168.75512994233182,5,0,1,47949.775805988436,11863.99700278363
1403,52.59325732567117,7,1,1,12424.19630859639,9246.991345538177
3199,320.28797970637066,4,0,0,37415.81373784023,3423.8333168560466
3101,370.59326046604116,4,1,1,10998.648884802287,8772.617824062647
4191,425.5827667787729,5,1,1,16857.36706842171,7733.166476736571
2696,70.16067593472717,4,1,0,28143.159996913364,6753.767890596102
4991,439.457597178894,4,0,0,28194.89771211473,14886.712843121946
1627,325.0335261709841,4,1,1,37428.02171734576,14313.784904401013
1586,354.9336062178696,6,0,0,46408.52139471027,12191.38172863732
2648,456.20576173474893,7,0,0,35561.28635659683,18834.631452574075
2443,316.13302281119303,2,1,1,48141.40391406035,7647.233299436235
2445,174.5742700034192,7,1,0,45264.625595119905,5632.236816493411
1103,414.3025923971033,5,1,0,33379.99182123161,13462.16294886959
4923,187.89901397559436,4,0,1,43351.67803675309,4777.467157810655
1253,26.77177430205927,7,1,0,35703.104412945366,6985.1996364850675
4298,417.02070821697237,6,0,0,13142.313236949085,5267.446361422812
4183,179.14415099182503,5,1,1,39622.5889303804,2313.9177866515233
3557,389.17891636865676,3,1,1,13796.337650693848,16722.476091077795
2496,187.75136838631326,7,0,1,33763.3112227885,5836.270315511562
1098,431.92332978761357,3,0,0,38105.60823432915,9987.522563517394
3200,117.56015728966976,4,0,1,12661.104328434209,1822.990191831927
2884,487.5281599474463,6,0,1,19231.78615706127,14287.449858800219
3961,392.0817996461351,6,0,0,46626.889290465995,7280.659043819525
2919,65.97658370099444,7,0,1,34652.579689315855,15149.99782875499
1877,287.2305437836146,5,1,1,19851.440752421266,8835.658148889455
1337,492.82998299845,5,1,1,37627.19084592027,4719.356521706868
4777,240.82207181996904,6,0,1,33871.05679846759,10750.326563358682
3869,99.2324980225758,5,1,0,30063.027996717934,3479.586633111356
4234,247.54139990366963,6,0,1,49047.47899952335,9370.244037586901
4791,261.10425138214157,7,1,1,37338.15109630035,7028.804070989244
1956,373.4266026720461,2,1,0,25017.644386716507,18327.23209979303
2704,352.43446804884314,6,0,1,42002.937283074716,2157.645712693679
1160,207.24952136252045,3,0,0,45383.33171684751,14186.330868009098
2603,116.83132267210237,5,0,0,15008.822380673257,4472.2721537612815
3848,326.07654220697145,6,1,0,18022.11911381066,7061.856412312557
1397,216.63492793110808,6,0,1,18649.080365111186,8894.767198179252
2300,74.81534345141189,7,1,0,37648.47237546161,18252.28669812451
